city,year,period,variable,estimate,moe,variable_label,category
Schertz,2017,2013-2017,married_couple_families_pct,3.1,1.2,Percent Married Couple Families,Social Characteristics
Schertz,2018,2014-2018,married_couple_families_pct,2.5,0.9,Percent Married Couple Families,Social Characteristics
Schertz,2019,2015-2019,married_couple_families_pct,1.7,0.8,Percent Married Couple Families,Social Characteristics
Schertz,2020,2016-2020,married_couple_families_pct,NA,NA,Percent Married Couple Families,Social Characteristics
Schertz,2021,2017-2021,married_couple_families_pct,1.1,0.6,Percent Married Couple Families,Social Characteristics
Schertz,2022,2018-2022,married_couple_families_pct,1.2,0.8,Percent Married Couple Families,Social Characteristics
Schertz,2015,2011-2015,median_age,26807,565,Median Age,Demographics
Schertz,2016,2012-2016,median_age,27566,743,Median Age,Demographics
Schertz,2017,2013-2017,median_age,37.6,1.6,Median Age,Demographics
Schertz,2018,2014-2018,median_age,38,1.1,Median Age,Demographics
Schertz,2019,2015-2019,median_age,38,1.1,Median Age,Demographics
Schertz,2020,2016-2020,median_age,37.9,1.9,Median Age,Demographics
Schertz,2021,2017-2021,median_age,39,2.3,Median Age,Demographics
Schertz,2022,2018-2022,median_age,38.2,2.2,Median Age,Demographics
Schertz,2015,2011-2015,median_gross_rent,1063,71,Median Gross Rent,Housing
Schertz,2016,2012-2016,median_gross_rent,1128,53,Median Gross Rent,Housing
Schertz,2017,2013-2017,median_gross_rent,1188,59,Median Gross Rent,Housing
Schertz,2018,2014-2018,median_gross_rent,1241,85,Median Gross Rent,Housing
Schertz,2019,2015-2019,median_gross_rent,1322,65,Median Gross Rent,Housing
Schertz,2020,2016-2020,median_gross_rent,1374,77,Median Gross Rent,Housing
Schertz,2021,2017-2021,median_gross_rent,1359,78,Median Gross Rent,Housing
Schertz,2022,2018-2022,median_gross_rent,1513,164,Median Gross Rent,Housing
Schertz,2015,2011-2015,median_hh_income,74509,3856,Median Household Income,Economic
Schertz,2016,2012-2016,median_hh_income,77139,3419,Median Household Income,Economic
Schertz,2017,2013-2017,median_hh_income,80112,3092,Median Household Income,Economic
Schertz,2018,2014-2018,median_hh_income,82647,3228,Median Household Income,Economic
Schertz,2019,2015-2019,median_hh_income,87059,3287,Median Household Income,Economic
Schertz,2020,2016-2020,median_hh_income,84527,4632,Median Household Income,Economic
Schertz,2021,2017-2021,median_hh_income,87492,4947,Median Household Income,Economic
Schertz,2022,2018-2022,median_hh_income,94173,6619,Median Household Income,Economic
Schertz,2015,2011-2015,median_home_value,170700,3007,Median Home Value,Housing
Schertz,2016,2012-2016,median_home_value,179000,6210,Median Home Value,Housing
Schertz,2017,2013-2017,median_home_value,186600,5747,Median Home Value,Housing
Schertz,2018,2014-2018,median_home_value,196500,5712,Median Home Value,Housing
Schertz,2019,2015-2019,median_home_value,211700,5560,Median Home Value,Housing
Schertz,2020,2016-2020,median_home_value,223400,5870,Median Home Value,Housing
Schertz,2021,2017-2021,median_home_value,241100,7028,Median Home Value,Housing
Schertz,2022,2018-2022,median_home_value,272600,6630,Median Home Value,Housing
Schertz,2015,2011-2015,over_65_pct,51.6,1.2,Percent Over 65,Demographics
Schertz,2016,2012-2016,over_65_pct,52.7,1,Percent Over 65,Demographics
Schertz,2017,2013-2017,over_65_pct,12.6,0.9,Percent Over 65,Demographics
Schertz,2018,2014-2018,over_65_pct,12.9,1,Percent Over 65,Demographics
Schertz,2019,2015-2019,over_65_pct,13.3,1.1,Percent Over 65,Demographics
Schertz,2020,2016-2020,over_65_pct,13.4,1.4,Percent Over 65,Demographics
Schertz,2021,2017-2021,over_65_pct,14.1,1.3,Percent Over 65,Demographics
Schertz,2022,2018-2022,over_65_pct,14,1.4,Percent Over 65,Demographics
Schertz,2015,2011-2015,owner_occupied_pct,75.1,2.8,Percent Owner Occupied,Housing
Schertz,2016,2012-2016,owner_occupied_pct,74.4,2.6,Percent Owner Occupied,Housing
Schertz,2017,2013-2017,owner_occupied_pct,74.4,2.2,Percent Owner Occupied,Housing
Schertz,2018,2014-2018,owner_occupied_pct,75.7,2.7,Percent Owner Occupied,Housing
Schertz,2019,2015-2019,owner_occupied_pct,74.5,2.6,Percent Owner Occupied,Housing
Schertz,2020,2016-2020,owner_occupied_pct,77.2,2.8,Percent Owner Occupied,Housing
Schertz,2021,2017-2021,owner_occupied_pct,78.7,2.9,Percent Owner Occupied,Housing
Schertz,2022,2018-2022,owner_occupied_pct,78.2,2.4,Percent Owner Occupied,Housing
Schertz,2015,2011-2015,per_capita_income,30980,1238,Per Capita Income,Economic
Schertz,2016,2012-2016,per_capita_income,32090,1425,Per Capita Income,Economic
Schertz,2017,2013-2017,per_capita_income,33378,1447,Per Capita Income,Economic
Schertz,2018,2014-2018,per_capita_income,35121,1274,Per Capita Income,Economic
Schertz,2019,2015-2019,per_capita_income,35778,1303,Per Capita Income,Economic
Schertz,2020,2016-2020,per_capita_income,36786,1877,Per Capita Income,Economic
Schertz,2021,2017-2021,per_capita_income,39021,1786,Per Capita Income,Economic
Schertz,2022,2018-2022,per_capita_income,40324,1979,Per Capita Income,Economic
Schertz,2015,2011-2015,poverty_rate,6.2,1.7,Poverty Rate (%),Economic
Schertz,2016,2012-2016,poverty_rate,6.1,1.9,Poverty Rate (%),Economic
Schertz,2017,2013-2017,poverty_rate,5.7,1.7,Poverty Rate (%),Economic
Schertz,2018,2014-2018,poverty_rate,5,1.5,Poverty Rate (%),Economic
Schertz,2019,2015-2019,poverty_rate,4.6,1.5,Poverty Rate (%),Economic
Schertz,2020,2016-2020,poverty_rate,3.4,1.2,Poverty Rate (%),Economic
Schertz,2021,2017-2021,poverty_rate,4.1,1.4,Poverty Rate (%),Economic
Schertz,2022,2018-2022,poverty_rate,4.9,1.5,Poverty Rate (%),Economic
Schertz,2015,2011-2015,total_pop,36535,570,Total Population,Demographics
Schertz,2016,2012-2016,total_pop,37597,749,Total Population,Demographics
Schertz,2017,2013-2017,total_pop,38199,778,Total Population,Demographics
Schertz,2018,2014-2018,total_pop,38991,646,Total Population,Demographics
Schertz,2019,2015-2019,total_pop,41199,1194,Total Population,Demographics
Schertz,2020,2016-2020,total_pop,42433,793,Total Population,Demographics
Schertz,2021,2017-2021,total_pop,41607,745,Total Population,Demographics
Schertz,2022,2018-2022,total_pop,42545,763,Total Population,Demographics
Schertz,2015,2011-2015,under_18_pct,69.4,1.3,Percent Under 18,Demographics
Schertz,2016,2012-2016,under_18_pct,69.7,1.4,Percent Under 18,Demographics
Schertz,2017,2013-2017,under_18_pct,26.4,1.2,Percent Under 18,Demographics
Schertz,2018,2014-2018,under_18_pct,26.2,1.1,Percent Under 18,Demographics
Schertz,2019,2015-2019,under_18_pct,25.8,1.3,Percent Under 18,Demographics
Schertz,2020,2016-2020,under_18_pct,23.8,2,Percent Under 18,Demographics
Schertz,2021,2017-2021,under_18_pct,22.8,1.8,Percent Under 18,Demographics
Schertz,2022,2018-2022,under_18_pct,24.3,1.9,Percent Under 18,Demographics
Schertz,2015,2011-2015,unemployment_rate,3.3,0.8,Unemployment Rate (%),Economic
Schertz,2016,2012-2016,unemployment_rate,2.8,0.5,Unemployment Rate (%),Economic
Schertz,2017,2013-2017,unemployment_rate,2.5,0.5,Unemployment Rate (%),Economic
Schertz,2018,2014-2018,unemployment_rate,2.6,0.6,Unemployment Rate (%),Economic
Schertz,2019,2015-2019,unemployment_rate,2.6,0.6,Unemployment Rate (%),Economic
Schertz,2020,2016-2020,unemployment_rate,2.7,0.7,Unemployment Rate (%),Economic
Schertz,2021,2017-2021,unemployment_rate,3.5,0.8,Unemployment Rate (%),Economic
Schertz,2022,2018-2022,unemployment_rate,3.9,1,Unemployment Rate (%),Economic
Schertz,2015,2011-2015,vacancy_rate,4.9,1.5,Vacancy Rate (%),Housing
Schertz,2016,2012-2016,vacancy_rate,5.1,1.5,Vacancy Rate (%),Housing
Schertz,2017,2013-2017,vacancy_rate,4.5,1.5,Vacancy Rate (%),Housing
Schertz,2018,2014-2018,vacancy_rate,4.6,1.7,Vacancy Rate (%),Housing
Schertz,2019,2015-2019,vacancy_rate,3.9,1.2,Vacancy Rate (%),Housing
Schertz,2020,2016-2020,vacancy_rate,3.8,1.5,Vacancy Rate (%),Housing
Schertz,2021,2017-2021,vacancy_rate,3.9,1.7,Vacancy Rate (%),Housing
Schertz,2022,2018-2022,vacancy_rate,4,1.5,Vacancy Rate (%),Housing
