city,year,period,variable,estimate,moe,variable_label,category
Schertz,2012,2008-2012,median_age,23439,564,Median Age,Demographics
Schertz,2012,2008-2012,under_18_pct,69.8,1.6,Percent Under 18,Demographics
Schertz,2012,2008-2012,over_65_pct,52.6,1.4,Percent Over 65,Demographics
Schertz,2012,2008-2012,hispanic_pct,74.6,2.4,Percent Hispanic/Latino,Demographics
Cibolo,2013,2009-2013,married_couple_families_pct,0.9,0.6,Percent Married Couple Families,Social Characteristics
Cibolo,2013,2009-2013,avg_household_size,3.54,0.12,Average Household Size,Social Characteristics
Cibolo,2013,2009-2013,bachelor_plus_pct,14.5,2,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2013,2009-2013,unemployment_rate,3.6,1.2,Unemployment Rate (%),Economic
Cibolo,2013,2009-2013,median_hh_income,87218,4951,Median Household Income,Economic
Cibolo,2013,2009-2013,per_capita_income,30841,2026,Per Capita Income,Economic
Cibolo,2013,2009-2013,poverty_rate,2.2,1.5,Poverty Rate (%),Economic
Cibolo,2013,2009-2013,vacancy_rate,4.7,2.2,Vacancy Rate (%),Housing
Cibolo,2013,2009-2013,owner_occupied_pct,15.7,3.4,Percent Owner Occupied,Housing
Cibolo,2013,2009-2013,median_home_value,5485,333,Median Home Value,Housing
Cibolo,2013,2009-2013,median_gross_rent,981,221,Median Gross Rent,Housing
Cibolo,2013,2009-2013,total_pop,20564,43,Total Population,Demographics
Cibolo,2013,2009-2013,median_age,13828,340,Median Age,Demographics
Cibolo,2013,2009-2013,under_18_pct,62.6,1.6,Percent Under 18,Demographics
Cibolo,2013,2009-2013,over_65_pct,50.9,2.1,Percent Over 65,Demographics
Cibolo,2013,2009-2013,hispanic_pct,68.7,2.6,Percent Hispanic/Latino,Demographics
Schertz,2013,2009-2013,married_couple_families_pct,2.2,0.9,Percent Married Couple Families,Social Characteristics
Schertz,2013,2009-2013,avg_household_size,3.3,0.09,Average Household Size,Social Characteristics
Schertz,2013,2009-2013,bachelor_plus_pct,12.6,1.6,Percent Bachelor's Degree+,Social Characteristics
Schertz,2013,2009-2013,unemployment_rate,4.8,1,Unemployment Rate (%),Economic
Schertz,2013,2009-2013,median_hh_income,71380,2711,Median Household Income,Economic
Schertz,2013,2009-2013,per_capita_income,29555,1223,Per Capita Income,Economic
Schertz,2013,2009-2013,poverty_rate,6.3,1.8,Poverty Rate (%),Economic
Schertz,2013,2009-2013,vacancy_rate,5.6,2,Vacancy Rate (%),Housing
Schertz,2013,2009-2013,owner_occupied_pct,22.8,2.5,Percent Owner Occupied,Housing
Schertz,2013,2009-2013,median_home_value,9077,376,Median Home Value,Housing
Schertz,2013,2009-2013,median_gross_rent,2644,301,Median Gross Rent,Housing
Schertz,2013,2009-2013,total_pop,33758,743,Total Population,Demographics
Schertz,2013,2009-2013,median_age,24536,774,Median Age,Demographics
Schertz,2013,2009-2013,under_18_pct,69.3,1.4,Percent Under 18,Demographics
Schertz,2013,2009-2013,over_65_pct,53.1,1,Percent Over 65,Demographics
Schertz,2013,2009-2013,hispanic_pct,73.7,2.7,Percent Hispanic/Latino,Demographics
Cibolo,2014,2010-2014,married_couple_families_pct,0.9,0.4,Percent Married Couple Families,Social Characteristics
Cibolo,2014,2010-2014,avg_household_size,3.58,0.13,Average Household Size,Social Characteristics
Cibolo,2014,2010-2014,bachelor_plus_pct,16.5,2.7,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2014,2010-2014,unemployment_rate,3.2,1,Unemployment Rate (%),Economic
Cibolo,2014,2010-2014,median_hh_income,87613,5073,Median Household Income,Economic
Cibolo,2014,2010-2014,per_capita_income,30808,1883,Per Capita Income,Economic
Cibolo,2014,2010-2014,poverty_rate,3,1.5,Poverty Rate (%),Economic
Cibolo,2014,2010-2014,vacancy_rate,4.1,1.8,Vacancy Rate (%),Housing
Cibolo,2014,2010-2014,owner_occupied_pct,18.9,4,Percent Owner Occupied,Housing
Cibolo,2014,2010-2014,median_home_value,5732,366,Median Home Value,Housing
Cibolo,2014,2010-2014,median_gross_rent,1291,269,Median Gross Rent,Housing
Cibolo,2014,2010-2014,total_pop,22744,58,Total Population,Demographics
Cibolo,2014,2010-2014,median_age,15380,392,Median Age,Demographics
Cibolo,2014,2010-2014,under_18_pct,62.3,1.6,Percent Under 18,Demographics
Cibolo,2014,2010-2014,over_65_pct,52,1.9,Percent Over 65,Demographics
Cibolo,2014,2010-2014,hispanic_pct,70.7,2.8,Percent Hispanic/Latino,Demographics
Schertz,2014,2010-2014,married_couple_families_pct,2.5,1,Percent Married Couple Families,Social Characteristics
Schertz,2014,2010-2014,avg_household_size,3.26,0.09,Average Household Size,Social Characteristics
Schertz,2014,2010-2014,bachelor_plus_pct,12.1,1.6,Percent Bachelor's Degree+,Social Characteristics
Schertz,2014,2010-2014,unemployment_rate,4.6,0.9,Unemployment Rate (%),Economic
Schertz,2014,2010-2014,median_hh_income,72463,2719,Median Household Income,Economic
Schertz,2014,2010-2014,per_capita_income,30578,1062,Per Capita Income,Economic
Schertz,2014,2010-2014,poverty_rate,6.6,1.5,Poverty Rate (%),Economic
Schertz,2014,2010-2014,vacancy_rate,5.1,1.4,Vacancy Rate (%),Housing
Schertz,2014,2010-2014,owner_occupied_pct,22.6,2.5,Percent Owner Occupied,Housing
Schertz,2014,2010-2014,median_home_value,9497,356,Median Home Value,Housing
Schertz,2014,2010-2014,median_gross_rent,2752,336,Median Gross Rent,Housing
Schertz,2014,2010-2014,total_pop,35093,474,Total Population,Demographics
Schertz,2014,2010-2014,median_age,25696,533,Median Age,Demographics
Schertz,2014,2010-2014,under_18_pct,69.9,1.3,Percent Under 18,Demographics
Schertz,2014,2010-2014,over_65_pct,52.5,1.1,Percent Over 65,Demographics
Schertz,2014,2010-2014,hispanic_pct,73.4,2.4,Percent Hispanic/Latino,Demographics
Cibolo,2015,2011-2015,married_couple_families_pct,0.9,0.6,Percent Married Couple Families,Social Characteristics
Cibolo,2015,2011-2015,avg_household_size,3.57,0.11,Average Household Size,Social Characteristics
Cibolo,2015,2011-2015,bachelor_plus_pct,16.4,2.5,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2015,2011-2015,unemployment_rate,3.1,1.1,Unemployment Rate (%),Economic
Cibolo,2015,2011-2015,median_hh_income,90665,6139,Median Household Income,Economic
Cibolo,2015,2011-2015,per_capita_income,30465,1500,Per Capita Income,Economic
Cibolo,2015,2011-2015,poverty_rate,3.1,1.6,Poverty Rate (%),Economic
Cibolo,2015,2011-2015,vacancy_rate,6.2,2.7,Vacancy Rate (%),Housing
Cibolo,2015,2011-2015,owner_occupied_pct,83.4,3.3,Percent Owner Occupied,Housing
Cibolo,2015,2011-2015,median_home_value,205100,7633,Median Home Value,Housing
Cibolo,2015,2011-2015,median_gross_rent,1347,223,Median Gross Rent,Housing
Cibolo,2015,2011-2015,total_pop,23977,58,Total Population,Demographics
Cibolo,2015,2011-2015,median_age,16431,387,Median Age,Demographics
Cibolo,2015,2011-2015,under_18_pct,63.2,1.5,Percent Under 18,Demographics
Cibolo,2015,2011-2015,over_65_pct,51.8,1.8,Percent Over 65,Demographics
Cibolo,2015,2011-2015,hispanic_pct,70.5,2.5,Percent Hispanic/Latino,Demographics
Schertz,2015,2011-2015,married_couple_families_pct,2.7,1,Percent Married Couple Families,Social Characteristics
Schertz,2015,2011-2015,avg_household_size,3.36,0.1,Average Household Size,Social Characteristics
Schertz,2015,2011-2015,bachelor_plus_pct,12.1,1.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2015,2011-2015,unemployment_rate,3.3,0.8,Unemployment Rate (%),Economic
Schertz,2015,2011-2015,median_hh_income,74509,3856,Median Household Income,Economic
Schertz,2015,2011-2015,per_capita_income,30980,1238,Per Capita Income,Economic
Schertz,2015,2011-2015,poverty_rate,6.2,1.7,Poverty Rate (%),Economic
Schertz,2015,2011-2015,vacancy_rate,4.9,1.5,Vacancy Rate (%),Housing
Schertz,2015,2011-2015,owner_occupied_pct,75.1,2.8,Percent Owner Occupied,Housing
Schertz,2015,2011-2015,median_home_value,170700,3007,Median Home Value,Housing
Schertz,2015,2011-2015,median_gross_rent,1063,71,Median Gross Rent,Housing
Schertz,2015,2011-2015,total_pop,36535,570,Total Population,Demographics
Schertz,2015,2011-2015,median_age,26807,565,Median Age,Demographics
Schertz,2015,2011-2015,under_18_pct,69.4,1.3,Percent Under 18,Demographics
Schertz,2015,2011-2015,over_65_pct,51.6,1.2,Percent Over 65,Demographics
Schertz,2015,2011-2015,hispanic_pct,72.2,2.3,Percent Hispanic/Latino,Demographics
Cibolo,2016,2012-2016,married_couple_families_pct,0.8,0.6,Percent Married Couple Families,Social Characteristics
Cibolo,2016,2012-2016,avg_household_size,3.61,0.13,Average Household Size,Social Characteristics
Cibolo,2016,2012-2016,bachelor_plus_pct,15.2,2.2,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2016,2012-2016,unemployment_rate,3.8,1.2,Unemployment Rate (%),Economic
Cibolo,2016,2012-2016,median_hh_income,91827,3861,Median Household Income,Economic
Cibolo,2016,2012-2016,per_capita_income,30753,1413,Per Capita Income,Economic
Cibolo,2016,2012-2016,poverty_rate,3.5,1.5,Poverty Rate (%),Economic
Cibolo,2016,2012-2016,vacancy_rate,4.8,2.1,Vacancy Rate (%),Housing
Cibolo,2016,2012-2016,owner_occupied_pct,80.2,3.4,Percent Owner Occupied,Housing
Cibolo,2016,2012-2016,median_home_value,206900,6189,Median Home Value,Housing
Cibolo,2016,2012-2016,median_gross_rent,1512,143,Median Gross Rent,Housing
Cibolo,2016,2012-2016,total_pop,25256,60,Total Population,Demographics
Cibolo,2016,2012-2016,median_age,17388,435,Median Age,Demographics
Cibolo,2016,2012-2016,under_18_pct,64.1,1.7,Percent Under 18,Demographics
Cibolo,2016,2012-2016,over_65_pct,51.4,1.5,Percent Over 65,Demographics
Cibolo,2016,2012-2016,hispanic_pct,69.9,2.6,Percent Hispanic/Latino,Demographics
Schertz,2016,2012-2016,married_couple_families_pct,3.2,1.2,Percent Married Couple Families,Social Characteristics
Schertz,2016,2012-2016,avg_household_size,3.34,0.09,Average Household Size,Social Characteristics
Schertz,2016,2012-2016,bachelor_plus_pct,12.7,1.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2016,2012-2016,unemployment_rate,2.8,0.5,Unemployment Rate (%),Economic
Schertz,2016,2012-2016,median_hh_income,77139,3419,Median Household Income,Economic
Schertz,2016,2012-2016,per_capita_income,32090,1425,Per Capita Income,Economic
Schertz,2016,2012-2016,poverty_rate,6.1,1.9,Poverty Rate (%),Economic
Schertz,2016,2012-2016,vacancy_rate,5.1,1.5,Vacancy Rate (%),Housing
Schertz,2016,2012-2016,owner_occupied_pct,74.4,2.6,Percent Owner Occupied,Housing
Schertz,2016,2012-2016,median_home_value,179000,6210,Median Home Value,Housing
Schertz,2016,2012-2016,median_gross_rent,1128,53,Median Gross Rent,Housing
Schertz,2016,2012-2016,total_pop,37597,749,Total Population,Demographics
Schertz,2016,2012-2016,median_age,27566,743,Median Age,Demographics
Schertz,2016,2012-2016,under_18_pct,69.7,1.4,Percent Under 18,Demographics
Schertz,2016,2012-2016,over_65_pct,52.7,1,Percent Over 65,Demographics
Schertz,2016,2012-2016,hispanic_pct,71.4,2.2,Percent Hispanic/Latino,Demographics
Cibolo,2017,2013-2017,married_couple_families_pct,1.3,0.8,Percent Married Couple Families,Social Characteristics
Cibolo,2017,2013-2017,avg_household_size,3.6,0.11,Average Household Size,Social Characteristics
Cibolo,2017,2013-2017,bachelor_plus_pct,15.8,1.9,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2017,2013-2017,unemployment_rate,3.2,1,Unemployment Rate (%),Economic
Cibolo,2017,2013-2017,median_hh_income,92773,6161,Median Household Income,Economic
Cibolo,2017,2013-2017,per_capita_income,31705,1467,Per Capita Income,Economic
Cibolo,2017,2013-2017,poverty_rate,4.1,1.5,Poverty Rate (%),Economic
Cibolo,2017,2013-2017,vacancy_rate,3.6,2.2,Vacancy Rate (%),Housing
Cibolo,2017,2013-2017,owner_occupied_pct,80,3.3,Percent Owner Occupied,Housing
Cibolo,2017,2013-2017,median_home_value,214500,6241,Median Home Value,Housing
Cibolo,2017,2013-2017,median_gross_rent,1595,125,Median Gross Rent,Housing
Cibolo,2017,2013-2017,total_pop,26602,64,Total Population,Demographics
Cibolo,2017,2013-2017,median_age,33.7,1.4,Median Age,Demographics
Cibolo,2017,2013-2017,under_18_pct,31.4,1.5,Percent Under 18,Demographics
Cibolo,2017,2013-2017,over_65_pct,7.1,0.9,Percent Over 65,Demographics
Cibolo,2017,2013-2017,hispanic_pct,30.7,2.7,Percent Hispanic/Latino,Demographics
Schertz,2017,2013-2017,married_couple_families_pct,3.1,1.2,Percent Married Couple Families,Social Characteristics
Schertz,2017,2013-2017,avg_household_size,3.28,0.1,Average Household Size,Social Characteristics
Schertz,2017,2013-2017,bachelor_plus_pct,13,1.3,Percent Bachelor's Degree+,Social Characteristics
Schertz,2017,2013-2017,unemployment_rate,2.5,0.5,Unemployment Rate (%),Economic
Schertz,2017,2013-2017,median_hh_income,80112,3092,Median Household Income,Economic
Schertz,2017,2013-2017,per_capita_income,33378,1447,Per Capita Income,Economic
Schertz,2017,2013-2017,poverty_rate,5.7,1.7,Poverty Rate (%),Economic
Schertz,2017,2013-2017,vacancy_rate,4.5,1.5,Vacancy Rate (%),Housing
Schertz,2017,2013-2017,owner_occupied_pct,74.4,2.2,Percent Owner Occupied,Housing
Schertz,2017,2013-2017,median_home_value,186600,5747,Median Home Value,Housing
Schertz,2017,2013-2017,median_gross_rent,1188,59,Median Gross Rent,Housing
Schertz,2017,2013-2017,total_pop,38199,778,Total Population,Demographics
Schertz,2017,2013-2017,median_age,37.6,1.6,Median Age,Demographics
Schertz,2017,2013-2017,under_18_pct,26.4,1.2,Percent Under 18,Demographics
Schertz,2017,2013-2017,over_65_pct,12.6,0.9,Percent Over 65,Demographics
Schertz,2017,2013-2017,hispanic_pct,29.4,1.9,Percent Hispanic/Latino,Demographics
Cibolo,2018,2014-2018,married_couple_families_pct,1.5,0.8,Percent Married Couple Families,Social Characteristics
Cibolo,2018,2014-2018,avg_household_size,3.54,0.11,Average Household Size,Social Characteristics
Cibolo,2018,2014-2018,bachelor_plus_pct,16.1,2.1,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2018,2014-2018,unemployment_rate,2.4,0.8,Unemployment Rate (%),Economic
Cibolo,2018,2014-2018,median_hh_income,97277,5362,Median Household Income,Economic
Cibolo,2018,2014-2018,per_capita_income,33431,1620,Per Capita Income,Economic
Cibolo,2018,2014-2018,poverty_rate,4.6,1.8,Poverty Rate (%),Economic
Cibolo,2018,2014-2018,vacancy_rate,2.9,1.8,Vacancy Rate (%),Housing
Cibolo,2018,2014-2018,owner_occupied_pct,81.8,3,Percent Owner Occupied,Housing
Cibolo,2018,2014-2018,median_home_value,222800,5747,Median Home Value,Housing
Cibolo,2018,2014-2018,median_gross_rent,1701,77,Median Gross Rent,Housing
Cibolo,2018,2014-2018,total_pop,27963,34,Total Population,Demographics
Cibolo,2018,2014-2018,median_age,33.9,1.5,Median Age,Demographics
Cibolo,2018,2014-2018,under_18_pct,30,1.6,Percent Under 18,Demographics
Cibolo,2018,2014-2018,over_65_pct,7.5,1,Percent Over 65,Demographics
Cibolo,2018,2014-2018,hispanic_pct,30.1,2.8,Percent Hispanic/Latino,Demographics
Schertz,2018,2014-2018,married_couple_families_pct,2.5,0.9,Percent Married Couple Families,Social Characteristics
Schertz,2018,2014-2018,avg_household_size,3.3,0.09,Average Household Size,Social Characteristics
Schertz,2018,2014-2018,bachelor_plus_pct,14.1,1.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2018,2014-2018,unemployment_rate,2.6,0.6,Unemployment Rate (%),Economic
Schertz,2018,2014-2018,median_hh_income,82647,3228,Median Household Income,Economic
Schertz,2018,2014-2018,per_capita_income,35121,1274,Per Capita Income,Economic
Schertz,2018,2014-2018,poverty_rate,5,1.5,Poverty Rate (%),Economic
Schertz,2018,2014-2018,vacancy_rate,4.6,1.7,Vacancy Rate (%),Housing
Schertz,2018,2014-2018,owner_occupied_pct,75.7,2.7,Percent Owner Occupied,Housing
Schertz,2018,2014-2018,median_home_value,196500,5712,Median Home Value,Housing
Schertz,2018,2014-2018,median_gross_rent,1241,85,Median Gross Rent,Housing
Schertz,2018,2014-2018,total_pop,38991,646,Total Population,Demographics
Schertz,2018,2014-2018,median_age,38,1.1,Median Age,Demographics
Schertz,2018,2014-2018,under_18_pct,26.2,1.1,Percent Under 18,Demographics
Schertz,2018,2014-2018,over_65_pct,12.9,1,Percent Over 65,Demographics
Schertz,2018,2014-2018,hispanic_pct,31.5,2.1,Percent Hispanic/Latino,Demographics
Cibolo,2019,2015-2019,married_couple_families_pct,0.8,0.6,Percent Married Couple Families,Social Characteristics
Cibolo,2019,2015-2019,avg_household_size,3.38,0.12,Average Household Size,Social Characteristics
Cibolo,2019,2015-2019,bachelor_plus_pct,24.1,2.5,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2019,2015-2019,unemployment_rate,2.6,0.7,Unemployment Rate (%),Economic
